fid,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,x,y
4038,0.0736,0.0001,0.002,0.704,0.14,0.052,0.0218,0.0006,0.006,7,0.285714286,0.588235294,0.057142857,0,0.016806723,0,0,0.03697479,0,0.007563025,0.007563025,0,0,0,0,0,0,0.443154738,0,1,0,7.399870917,0.008964108,0.200796013,0.000439175,0.002604554,0.001020653,0.02470808,23.65934066,2.285714286,8.933333334,1,7.399870917,0.008964108,0.200796013,0.000439175,0.000439175,0.001020653,23.65934066,2.285714286,8.933333334,0,0,0,0,0,0,0,0,0,0,119.5900664,32.33522327
4039,0.1462,0.0001,0.0022,0.6167,0.1672,0.0559,0.0057,0.0001,0.006,15,0.423010381,0.255190311,0,0,0.00432526,0,0,0.037197232,0,0.278546713,0.001730104,0,0,0,0,0,0,1.028879325,0,377,0,14.70651511,0.014342572,0.219620639,0.000382093,0.002655035,0.001215041,0,21.0155642,3.375,7.968750001,1,14.70651511,0.014342572,0.219620639,0.000382093,0.000382093,0.001215041,21.0155642,3.375,7.968750001,0,0,0,0,0,0,0,0,0,0,119.5900664,32.30522327
4040,0.1247,0.0001,0.0027,0.4144,0.238,0.1269,0.0873,0,0.006,1,0.220168067,0.215966387,0.057142857,0,0.054621849,0,0,0.242016807,0,0.109243697,0,0,0.001680672,0,0.099159664,0,0,0.756010469,0,0,0,12.54257951,0.013446162,0.268026821,0.000400673,0.002407677,0.00098838,0.000875113,19.24472574,2.875,10.65714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.27522327
4041,0.0067,0,0.0043,0.1832,0.0104,0.032,0.7574,0.0001,0.006,0,0.247404844,0,0.029411765,0,0.685121107,0,0,0.020761246,0.007785467,0,0,0,0,0,0.009515571,0,0,0.005749104,0,0,0,0.673204489,0,0.427587938,0.004366004,0,0.000455331,0.000223525,2.127272727,0,4.636363637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.24522327
4042,0.0362,0.0006,0.0009,0.476,0.1454,0.1349,0.2,0,0.006,5,0.167820069,0.67733564,0,0,0.154844291,0,0,0,0,0,0,0,0,0,0,0,0,0.837129951,0,21,0,3.641220553,0.059163111,0.089641077,0.000562022,0.006602365,0.001376372,0.000960291,15.7109375,2.470588236,6.200000001,0,0,0,0,0,0,0,0,0,0,0.007581,0.023517,1,0,1,0,1,0,1,0,119.5900664,32.21522327
4043,0.0787,0.0001,0.004,0.2469,0.2363,0.0913,0.3368,0,0.006,29,0.134453782,0.087394958,0.057142857,0,0.26302521,0,0,0.310084034,0,0.08907563,0.008403361,0,0.018487395,0,0.022689076,0.009243697,0,5.539287717,0,35,0,7.920685575,0.008964108,0.398902793,0.000428748,0.00349882,0.001050067,0.000603643,16.84574468,1.285714286,9.279069768,2,15.84137115,0.017928216,0.797805586,0.000857496,0.000857496,0.002100134,33.69148936,2.571428572,18.55813954,1.530071,-1.014922,8,0,0,8,1,0,0,1,119.5900664,32.18522327
4044,0.2011,0.0001,0.0094,0.4254,0.2306,0.1075,0.0199,0.0001,0.006,18,0.081314879,0.133217993,0,0,0.005190311,0.016435986,0.010380623,0.152249135,0,0.530276817,0.070934256,0,0,0,0,0,0,1.271911312,0,13,0,20.22930188,0.006274875,0.946609774,0.000425085,0.011894793,0.000830343,0.000974605,16.96677741,1.333333333,12.55384616,0,0,0,0,0,0,0,0,0,0,1.748735,-0.981474,3,0,0,3,1,0,0,1,119.5900664,32.15522327
4045,0.0529,0.0004,0.0072,0.5887,0.1726,0.0957,0.0766,0,0.006,9,0.387394958,0.457142857,0.057142857,0.008403361,0.013445378,0,0,0.015966387,0,0.058823529,0.001680672,0,0,0,0,0,0,0.882347533,0,55,0,5.317508695,0.036752842,0.721610671,0.000581927,0.001980829,0.000686489,0.000569893,15.2967742,2.076923077,14.98245614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.12522327
4046,0.0388,0,0.0042,0.7185,0.1579,0.0562,0.0184,0.0001,0.006,5,0.19982699,0.770761246,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905060774,1.8319806,149,0.222528102,3.902076087,0,0.423105884,0.000552894,0,0.000744284,0.000750908,17.59848485,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5900664,32.09522327
4047,0.1187,0,0.0069,0.512,0.2633,0.0904,0.0028,0,0.006,5,0.089965398,0.457612457,0,0,0,0,0.000865052,0.217128028,0,0.234429066,0,0,0,0,0,0,0,1.457957947,7.7963495,1,0.215251915,11.94019147,0,0.690236294,0.000435084,0,0.000759277,0.001345145,20.94372295,0,12.48214286,0,0,0,0,0,0,0,0,0,0,0.288389,-0.263978,1,0,0,1,1,0,0,1,119.5900664,32.06522327
